Age,Height,Weight,Chest,Size
26,156.0,65.7,92.2,S
21,166.5,53.4,83.9,XXS
23,171.1,66.3,87.4,XS
22,166.0,78.2,100.8,M
45,157.2,88.6,108.9,L
44,170.7,83.7,103.1,L
21,164.4,73.2,98.8,M
23,167.1,76.0,96.8,M
24,152.1,54.5,83.1,XXS
37,159.0,68.4,101.0,M
33,170.7,99.0,106.5,L
36,166.8,74.2,103.4,L
40,165.4,78.1,106.3,L
24,166.6,71.8,93.7,S
30,159.9,70.9,98.9,M
36,167.3,67.2,94.0,S
19,164.7,62.0,83.5,XXS
19,167.8,59.5,89.7,XS
33,167.9,74.1,97.9,M
34,161.5,60.5,85.3,XS
31,151.7,80.0,109.0,L
29,167.4,74.7,94.1,S
31,162.3,49.1,85.7,XS
33,166.8,70.3,97.3,M
19,164.4,71.5,97.5,M
23,157.9,70.8,102.6,L
23,144.6,48.8,83.2,XXS
21,162.0,69.1,92.1,S
24,168.4,73.0,103.2,L
30,161.9,61.0,90.4,S
30,159.2,65.8,95.1,M
28,165.5,70.9,95.0,M
22,172.3,72.8,96.5,M
40,167.7,84.6,111.5,L
42,165.4,94.5,117.0,XL
26,163.4,62.7,89.5,XS
40,168.3,57.8,94.4,S
29,155.2,52.4,83.3,XXS
37,161.7,73.2,102.5,L
26,158.8,79.1,98.2,M
31,164.1,89.4,106.0,L
28,168.5,68.9,99.1,M
25,165.6,75.8,99.4,M
26,160.3,73.1,107.1,L
35,160.8,74.8,94.5,S
22,166.4,80.6,109.4,L
40,161.9,71.4,93.2,S
43,162.0,71.2,101.3,M
20,172.0,65.7,91.0,S
26,158.2,47.7,79.3,XXS
24,172.0,69.6,95.4,M
27,172.0,119.6,116.1,XL
41,170.1,88.7,113.5,XL
30,162.7,75.4,109.5,L
25,153.6,67.8,101.4,M
24,154.6,60.7,94.6,S
21,165.4,57.2,81.4,XXS
24,160.5,68.9,94.0,S
29,163.0,71.2,98.8,M
23,161.2,60.4,90.4,S
35,175.7,69.7,87.6,XS
28,167.0,85.4,109.0,L
26,163.2,61.7,94.3,S
27,163.5,79.0,113.2,XL
25,168.2,67.2,97.7,M
27,166.1,69.5,97.7,M
22,159.6,66.9,100.6,M
24,159.6,57.4,93.6,S
26,166.5,81.5,106.5,L
27,161.7,61.8,89.0,XS
20,155.5,64.5,90.0,S
36,157.8,55.7,86.2,XS
44,158.1,61.4,89.6,XS
34,169.8,66.8,94.3,S
26,155.4,73.0,109.2,L
22,175.6,73.7,92.0,S
29,156.6,69.3,107.1,L
44,165.1,75.7,100.1,M
38,158.5,74.0,112.6,XL
22,165.7,68.2,98.2,M
25,171.9,86.7,106.9,L
18,182.2,88.2,106.1,L
34,164.9,78.6,103.1,L
20,168.7,62.2,92.4,S
33,169.8,78.2,99.9,M
36,153.0,60.8,86.5,XS
29,158.1,67.4,99.8,M
23,160.9,68.6,93.0,S
35,164.4,67.0,93.4,S
19,154.8,63.5,85.6,XS
30,160.6,77.3,97.9,M
42,164.2,55.5,85.2,XS
38,162.2,72.7,101.4,M
24,166.9,59.3,84.1,XS
35,174.5,99.8,105.7,L
32,149.5,58.1,98.6,M
41,149.3,64.2,95.1,M
40,164.1,75.8,106.8,L
42,160.7,68.3,94.5,S
33,156.0,47.1,82.6,XXS
30,162.5,66.5,97.8,M
36,167.0,68.5,97.8,M
20,161.6,57.9,87.0,XS
46,158.2,64.7,108.0,L
20,173.0,59.1,92.1,S
20,150.1,45.0,84.6,XS
40,151.5,57.2,95.9,M
31,157.6,72.1,102.2,L
32,162.8,67.6,87.8,XS
32,158.6,71.1,102.9,L
24,173.7,79.1,93.6,S
24,157.6,53.6,83.4,XXS
32,162.6,63.9,93.1,S
32,160.4,62.8,98.1,M
27,167.3,78.8,103.7,L
27,164.2,59.8,98.1,M
41,153.8,75.2,105.2,L
38,157.4,68.6,102.8,L
26,163.7,66.8,94.6,S
25,162.0,61.3,93.0,S
20,173.3,74.2,93.7,S
26,152.6,52.2,81.0,XXS
42,173.2,76.7,99.1,M
20,162.4,66.1,98.5,M
34,150.7,50.5,84.4,XS
31,156.0,63.7,96.5,M
20,164.0,66.6,98.5,M
21,167.5,61.0,86.2,XS
19,152.6,58.1,86.3,XS
27,162.3,60.9,87.0,XS
24,158.4,57.5,81.5,XXS
42,167.1,79.7,105.7,L
43,155.2,74.5,113.7,XL
31,163.3,61.4,87.4,XS
37,153.0,67.7,100.4,M
27,160.6,50.8,84.4,XS
24,161.7,63.3,95.0,M
24,164.5,71.1,101.3,M
36,168.1,72.7,96.0,M
22,165.5,67.9,99.2,M
24,162.6,83.3,106.9,L
26,163.5,62.2,83.8,XXS
32,157.2,61.6,96.2,M
45,160.8,57.3,89.9,XS
29,166.2,50.7,82.8,XXS
21,158.2,61.1,94.0,S
21,170.1,86.6,115.6,XL
40,160.2,52.3,88.6,XS
34,154.9,67.6,99.1,M
21,156.1,54.9,89.9,XS
24,167.7,57.1,88.9,XS
30,159.4,64.4,90.7,S
21,162.8,64.9,94.0,S
21,154.9,59.2,94.9,S
41,155.9,56.3,86.6,XS
27,161.9,58.0,90.7,S
39,169.0,81.0,98.3,M
32,169.8,64.9,89.5,XS
24,170.5,65.4,89.2,XS
24,162.5,57.0,87.5,XS
35,166.6,80.5,101.2,M
24,155.9,67.1,102.6,L
35,159.5,67.3,97.7,M
23,163.4,55.0,81.2,XXS
41,164.3,70.8,91.3,S
39,166.7,53.8,94.3,S
39,166.1,77.1,103.2,L
46,156.0,60.2,87.8,XS
42,161.0,71.9,97.1,M
50,161.0,61.7,90.6,S
44,168.2,76.1,102.4,L
45,160.4,73.9,102.8,L
47,154.0,56.0,88.1,XS
42,163.8,64.7,91.9,S
45,165.6,72.4,91.8,S
39,159.7,70.8,111.8,L
44,174.9,95.3,113.0,XL
44,166.1,74.8,100.2,M
25,152.6,70.0,103.9,L
37,158.3,65.5,93.4,S
46,153.3,49.9,84.4,XS
48,157.5,55.3,82.1,XXS
38,177.6,92.4,107.2,L
44,171.3,71.6,108.4,L
45,165.3,67.6,91.8,S
48,151.6,64.1,103.2,L
41,165.8,66.6,97.1,M
52,161.7,66.3,102.2,L
45,168.7,76.3,98.7,M
44,160.3,71.7,103.6,L
33,153.9,64.3,99.0,M
48,160.3,59.1,96.5,M
19,162.0,52.9,81.7,XXS
27,161.7,69.4,99.3,M
39,160.0,69.9,103.1,L
27,157.2,59.2,87.7,XS
49,163.2,54.0,81.8,XXS
30,169.0,70.1,94.5,S
23,168.2,68.1,91.6,S
23,165.7,86.4,105.0,L
23,167.2,67.2,88.1,XS
27,162.1,55.9,91.2,S
41,162.3,56.6,85.4,XS
22,163.3,58.5,88.7,XS
26,152.6,62.8,100.5,M
21,157.0,46.7,82.5,XXS
21,161.6,59.9,87.4,XS
32,169.0,64.2,97.2,M
27,163.7,81.3,102.6,L
23,171.8,71.9,97.9,M
24,158.8,54.8,87.3,XS
28,152.0,48.5,84.4,XS
35,161.8,65.8,92.1,S
23,163.1,75.3,100.0,M
37,164.2,63.6,93.8,S
27,171.9,75.2,95.2,M
20,171.5,75.5,93.1,S
33,165.3,46.9,81.4,XXS
35,159.0,53.7,91.3,S
37,175.1,75.8,95.0,M
43,158.3,67.9,95.0,M
31,162.7,68.4,91.5,S
28,158.6,67.7,92.3,S
27,167.5,61.7,90.9,S
48,160.6,71.7,98.6,M
28,168.0,64.2,87.0,XS
21,177.3,74.0,94.2,S
22,168.0,79.2,110.5,L
22,164.5,58.1,83.8,XXS
21,155.8,72.7,108.6,L
37,166.5,70.4,98.5,M
44,160.1,65.3,96.0,M
26,165.8,72.5,96.4,M
30,162.3,72.1,101.5,M
34,166.1,56.1,86.2,XS
21,156.3,58.3,86.1,XS
28,163.0,67.7,92.7,S
31,152.8,57.6,90.6,S
27,165.3,55.9,84.7,XS
51,151.2,46.8,84.1,XS
22,162.9,56.7,85.5,XS
26,167.5,82.0,107.2,L
24,149.8,66.4,98.8,M
41,153.8,62.6,98.4,M
22,156.7,65.3,93.8,S
23,159.0,53.9,86.6,XS
21,157.3,75.0,106.3,L
25,159.5,70.4,94.9,S
24,161.0,67.5,98.2,M
20,156.5,64.0,93.5,S
25,152.3,47.0,84.5,XS
23,157.0,50.2,83.6,XXS
23,155.6,59.7,94.9,S
29,159.9,64.6,95.4,M
23,161.1,72.6,94.0,S
45,168.1,63.1,91.5,S
23,158.5,63.1,92.5,S
24,161.4,66.0,103.2,L
22,167.4,78.9,98.8,M
23,165.3,53.1,83.8,XXS
27,159.3,70.8,99.2,M
37,159.2,62.5,96.9,M
31,161.7,68.0,95.7,M
44,158.9,73.4,109.3,L
28,159.7,68.8,99.7,M
39,169.8,84.0,109.0,L
28,161.9,64.7,92.3,S
22,166.3,56.1,84.4,XS
44,160.6,73.5,101.1,M
45,160.9,73.3,99.7,M
26,169.6,60.5,94.3,S
24,172.3,72.2,93.4,S
50,174.8,90.8,103.1,L
27,169.5,76.0,98.5,M
49,164.8,60.6,93.5,S
21,157.9,57.3,87.2,XS
24,158.7,60.2,99.6,M
48,160.4,66.9,99.4,M
40,160.3,82.9,113.1,XL
37,171.2,76.5,96.6,M
37,162.8,67.1,90.8,S
48,152.0,58.9,98.5,M
23,164.0,61.5,89.6,XS
23,161.6,52.9,86.4,XS
32,168.4,84.7,109.5,L
29,164.9,59.6,89.0,XS
37,167.7,66.6,96.5,M
44,165.3,67.6,95.8,M
44,163.8,65.8,92.6,S
31,164.6,59.6,87.8,XS
26,161.9,73.5,95.1,M
24,153.0,55.6,85.8,XS
24,160.3,56.1,87.0,XS
20,168.0,56.0,87.5,XS
31,160.2,87.1,113.9,XL
22,144.7,73.6,106.4,L
21,162.7,61.3,92.3,S
24,159.4,50.5,86.1,XS
25,168.8,82.3,105.7,L
39,154.7,56.1,89.6,XS
