Age,Height,Weight,Chest,Size
41,177.6,81.5,107.4,L
35,170.2,72.6,102.1,L
42,173.5,92.9,112.0,XL
31,165.5,79.4,111.4,L
21,191.4,94.6,104.8,L
39,172.0,80.2,106.6,L
32,181.0,116.2,120.8,XL
23,185.0,95.4,108.7,L
36,177.7,99.5,118.1,XL
23,181.1,70.2,96.4,M
32,178.0,88.2,111.7,L
28,173.3,70.1,96.1,M
36,181.4,103.7,115.1,XL
26,186.1,111.6,123.1,XXL
22,170.9,89.6,106.0,L
38,174.0,92.4,109.2,L
26,169.4,77.9,108.5,L
34,176.6,96.9,111.8,L
31,174.8,76.0,99.9,M
32,179.4,90.8,112.7,XL
28,178.0,71.4,100.0,M
24,168.0,74.6,97.7,M
23,165.3,79.2,107.9,L
26,195.9,91.5,101.1,M
33,175.5,96.5,109.8,L
32,163.0,67.5,95.7,M
30,182.5,107.3,115.8,XL
36,179.5,79.3,96.4,M
25,174.5,78.2,97.1,M
33,181.8,88.2,105.7,L
21,188.1,71.5,95.7,M
47,176.0,94.7,110.8,L
37,167.5,66.5,94.7,S
27,185.2,87.9,104.3,L
20,178.5,67.5,96.5,M
30,179.1,88.4,117.4,XL
20,168.5,69.5,95.1,M
30,185.0,121.8,118.2,XL
30,173.7,71.9,98.1,M
26,174.3,88.1,108.6,L
25,174.4,57.5,86.5,XS
44,167.9,87.6,120.5,XL
19,183.6,85.0,101.3,M
24,173.0,86.5,115.2,XL
33,176.2,95.8,109.6,L
21,166.9,66.7,95.7,M
29,174.0,70.6,98.5,M
31,170.9,84.7,106.3,L
39,187.9,101.3,113.7,XL
40,167.4,85.6,110.6,L
39,177.9,109.5,116.6,XL
35,184.4,83.4,108.1,L
35,163.7,72.7,100.6,M
24,175.4,98.6,115.3,XL
31,170.4,77.3,103.7,L
33,184.0,140.0,146.9,XXXL
26,178.3,67.4,90.1,S
28,174.8,88.4,107.1,L
40,170.3,98.8,126.3,XXL
35,185.2,95.2,114.6,XL
26,160.9,56.6,85.8,XS
33,170.9,71.7,104.4,L
27,183.5,71.7,90.4,S
43,167.9,80.2,103.3,L
28,174.2,98.8,116.0,XL
32,169.8,66.2,97.1,M
28,167.1,80.7,105.0,L
26,185.0,105.3,121.3,XL
27,175.4,68.3,94.4,S
39,161.9,74.9,98.9,M
26,177.2,73.8,97.5,M
28,170.5,60.4,93.9,S
39,161.9,77.4,109.1,L
22,172.6,76.8,98.3,M
26,184.0,102.2,112.9,XL
45,174.3,96.3,120.5,XL
39,167.4,92.3,112.3,XL
40,175.0,98.8,112.9,XL
23,181.9,88.7,104.8,L
19,179.9,98.7,106.3,L
21,175.0,85.2,109.8,L
27,172.3,74.8,97.2,M
41,180.9,92.0,112.7,XL
33,179.1,74.4,96.3,M
35,172.3,82.3,109.8,L
21,157.8,62.7,95.3,M
24,171.8,77.8,102.4,L
34,179.9,88.2,104.3,L
19,174.0,59.0,90.2,S
24,170.2,73.0,100.8,M
29,173.7,86.4,102.7,L
24,173.0,86.6,104.4,L
23,178.5,73.7,91.7,S
19,181.7,65.4,91.7,S
21,184.3,69.6,92.4,S
21,179.1,77.5,99.4,M
22,165.7,72.7,100.1,M
26,170.1,79.7,106.9,L
20,178.6,74.4,99.5,M
27,175.5,96.8,110.4,L
44,179.1,86.6,104.5,L
19,175.9,74.2,101.5,M
29,179.0,92.0,110.9,L
22,178.2,81.4,99.1,M
28,183.9,64.6,84.4,XS
31,188.0,95.4,117.6,XL
28,173.8,85.3,108.5,L
31,173.4,90.0,108.5,L
34,181.9,83.5,102.1,L
30,168.3,85.1,109.6,L
31,181.5,89.7,106.3,L
42,181.5,87.2,103.0,L
40,167.3,82.2,110.6,L
28,183.1,111.2,116.3,XL
48,179.5,98.7,108.9,L
29,184.5,110.5,114.9,XL
32,168.7,78.2,104.1,L
30,175.6,86.9,105.6,L
28,184.6,141.3,135.8,XXXL
21,165.7,78.9,102.5,L
20,163.2,69.0,100.0,M
29,173.5,79.2,102.6,L
34,172.6,69.9,98.9,M
46,187.7,121.2,125.1,XXL
38,188.7,87.8,103.0,L
39,176.5,70.6,97.0,M
26,179.3,82.2,103.5,L
24,184.9,99.2,107.6,L
41,181.1,76.0,103.8,L
38,173.9,98.8,111.3,L
24,166.8,75.9,101.1,M
19,178.8,89.8,102.4,L
31,174.6,78.2,99.7,M
36,175.0,83.1,105.7,L
24,181.0,99.6,108.2,L
33,171.0,74.2,100.2,M
31,184.7,96.8,113.2,XL
27,181.1,91.6,112.3,XL
40,178.0,108.0,117.5,XL
33,174.0,78.8,102.1,L
31,179.7,94.9,111.5,L
23,175.5,90.6,111.2,L
29,184.2,106.9,116.5,XL
24,165.6,87.4,105.6,L
26,177.6,87.9,104.8,L
32,185.9,115.4,113.7,XL
22,168.5,79.0,104.1,L
21,177.5,88.7,102.7,L
26,182.5,86.6,102.1,L
21,193.1,80.6,100.1,M
26,178.9,96.6,112.6,XL
36,181.9,109.9,122.5,XL
34,178.2,77.1,107.0,L
23,172.1,95.1,110.2,L
33,191.0,111.8,119.4,XL
30,180.4,89.5,109.7,L
33,178.2,106.0,120.8,XL
22,177.7,95.1,111.6,L
42,166.5,72.1,99.5,M
38,180.3,87.2,109.2,L
32,187.9,97.8,107.9,L
30,173.3,97.4,117.9,XL
38,183.5,95.8,108.4,L
25,179.2,112.3,115.0,XL
39,172.1,90.0,109.8,L
